0.596 0.650 0.676 0.694 0.709 0.723 0.734 0.745 0.754 0.764
0.628 0.654 0.663 0.669 0.673 0.672 0.675 0.677 0.678 0.673
0.508 0.510 0.510 0.510 0.510 0.510 0.510 0.510 0.510 0.510
0.513 0.513 0.513 0.513 0.513 0.513 0.513 0.513 0.513 0.513
